{'ngram': 1, 'est': 'mle'};0.5684729064038289;0.3840481640556391;0.8561576354679804;
{'ngram': 1, 'est': 'laplace'};0.5615763546796922;0.36445681927626467;0.8538587848932676;
{'ngram': 1, 'est': 'good-turing'};0.5645320197043222;0.366551216652002;0.8548440065681446;
{'ngram': 1, 'est': 'add-delta', 'delta': 0.1};0.5674876847289522;0.3689057966500227;0.8558292282430213;
{'ngram': 1, 'est': 'add-delta', 'delta': 0.2};0.5674876847289522;0.3689057966500227;0.8558292282430213;
{'ngram': 1, 'est': 'add-delta', 'delta': 0.3};0.5674876847289522;0.3689057966500227;0.8558292282430213;
{'ngram': 1, 'est': 'add-delta', 'delta': 0.4};0.5674876847289522;0.3689057966500227;0.8558292282430213;
{'ngram': 1, 'est': 'add-delta', 'delta': 0.5};0.5674876847289522;0.36891287984820137;0.8558292282430213;
{'ngram': 1, 'est': 'add-delta', 'delta': 0.6};0.5674876847289522;0.36891287984820137;0.8558292282430213;
{'ngram': 1, 'est': 'add-delta', 'delta': 0.7};0.5635467980294455;0.36621620632159474;0.8545155993431854;
{'ngram': 1, 'est': 'add-delta', 'delta': 0.8};0.5615763546796922;0.36445681927626467;0.8538587848932676;
{'ngram': 1, 'est': 'add-delta', 'delta': 0.9};0.5615763546796922;0.36445681927626467;0.8538587848932676;
{'ngram': 2, 'est': 'mle'};0.604926108374265;0.45160408644662614;0.8683087027914614;
{'ngram': 2, 'est': 'laplace'};0.6177339901476615;0.4602664156998139;0.8725779967159277;
{'ngram': 2, 'est': 'good-turing'};0.30738916256151577;0.2389953680145792;0.7691297208538588;
{'ngram': 2, 'est': 'add-delta', 'delta': 0.1};0.6108374384235249;0.45480738373009677;0.870279146141215;
{'ngram': 2, 'est': 'add-delta', 'delta': 0.2};0.6108374384235249;0.45471722193625047;0.8702791461412152;
{'ngram': 2, 'est': 'add-delta', 'delta': 0.3};0.6128078817732782;0.4563278005420824;0.870935960591133;
{'ngram': 2, 'est': 'add-delta', 'delta': 0.4};0.6128078817732782;0.4563278005420824;0.870935960591133;
{'ngram': 2, 'est': 'add-delta', 'delta': 0.5};0.6128078817732782;0.456825569826745;0.8709359605911331;
{'ngram': 2, 'est': 'add-delta', 'delta': 0.6};0.6157635467979081;0.4586169545017513;0.8719211822660098;
{'ngram': 2, 'est': 'add-delta', 'delta': 0.7};0.6157635467979081;0.4587431884578997;0.8719211822660098;
{'ngram': 2, 'est': 'add-delta', 'delta': 0.8};0.6167487684727848;0.4594926235710185;0.8722495894909689;
{'ngram': 2, 'est': 'add-delta', 'delta': 0.9};0.6177339901476615;0.4602664156998139;0.8725779967159277;
{'ngram': 3, 'est': 'mle'};0.5507389162560491;0.46145742605417345;0.8502463054187192;
{'ngram': 3, 'est': 'laplace'};0.6108374384235249;0.4815932970429287;0.8702791461412152;
{'ngram': 3, 'est': 'good-turing'};0.2078817733989738;0.16792676393086983;0.735960591133005;
{'ngram': 3, 'est': 'add-delta', 'delta': 0.1};0.6364532019703179;0.4965419115969073;0.8788177339901478;
{'ngram': 3, 'est': 'add-delta', 'delta': 0.2};0.6374384236451945;0.4972269874427543;0.8791461412151067;
{'ngram': 3, 'est': 'add-delta', 'delta': 0.3};0.6325123152708113;0.49517065121076487;0.877504105090312;
{'ngram': 3, 'est': 'add-delta', 'delta': 0.4};0.6295566502461813;0.49154543855418614;0.876518883415435;
{'ngram': 3, 'est': 'add-delta', 'delta': 0.5};0.6256157635466747;0.48959548555812804;0.8752052545155994;
{'ngram': 3, 'est': 'add-delta', 'delta': 0.6};0.6187192118225381;0.4855609013786567;0.8729064039408868;
{'ngram': 3, 'est': 'add-delta', 'delta': 0.7};0.6137931034481549;0.4821803223952147;0.871264367816092;
{'ngram': 3, 'est': 'add-delta', 'delta': 0.8};0.6128078817732782;0.48130778866692664;0.8709359605911331;
{'ngram': 3, 'est': 'add-delta', 'delta': 0.9};0.6137931034481549;0.48440546096364734;0.8712643678160918;
{'ngram': 4, 'est': 'mle'};0.5004926108373398;0.4638169130800765;0.833497536945813;
{'ngram': 4, 'est': 'laplace'};0.5428571428570358;0.43540014241927805;0.8476190476190476;
{'ngram': 4, 'est': 'good-turing'};0.29655172413787256;0.2014084920964161;0.7655172413793103;
{'ngram': 4, 'est': 'add-delta', 'delta': 0.1};0.5714285714284588;0.4544299299099595;0.8571428571428572;
{'ngram': 4, 'est': 'add-delta', 'delta': 0.2};0.5674876847289522;0.4499198165917127;0.8558292282430214;
{'ngram': 4, 'est': 'add-delta', 'delta': 0.3};0.5615763546796922;0.44575639796082933;0.8538587848932676;
{'ngram': 4, 'est': 'add-delta', 'delta': 0.4};0.5605911330048156;0.44480602596567503;0.8535303776683087;
{'ngram': 4, 'est': 'add-delta', 'delta': 0.5};0.5556650246304323;0.44169300462110705;0.8518883415435138;
{'ngram': 4, 'est': 'add-delta', 'delta': 0.6};0.5487684729062957;0.43840058300846263;0.8495894909688012;
{'ngram': 4, 'est': 'add-delta', 'delta': 0.7};0.5438423645319125;0.4336311260980516;0.8479474548440066;
{'ngram': 4, 'est': 'add-delta', 'delta': 0.8};0.5438423645319125;0.43289677340617844;0.8479474548440065;
{'ngram': 4, 'est': 'add-delta', 'delta': 0.9};0.5408866995072825;0.42908393853163135;0.8469622331691299;
{'ngram': 5, 'est': 'mle'};0.49556650246295647;0.46367904041885427;0.831855500821018;
{'ngram': 5, 'est': 'laplace'};0.5133004926107363;0.42064997631143536;0.8377668308702791;
{'ngram': 5, 'est': 'good-turing'};0.3221674876846656;0.21197753142500728;0.7740558292282431;
